omega,node,G_iw
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,392.6382013862199
1,10,0.0
1,11,190.50820163490798
1,12,0.0
1,13,0.0
1,14,0.0
1,15,0.0
1,16,0.0
1,17,0.0
1,18,0.0
1,19,0.0
1,20,0.0
1,21,0.0
1,22,0.0
1,23,0.0
1,24,397.8
1,25,828.9767971727147
1,26,0.0
1,27,0.0
1,28,0.0
1,29,0.0
1,30,612.0
1,31,0.0
1,32,0.0
1,33,0.0
1,34,0.0
1,35,0.0
1,36,0.0
1,37,0.0
1,38,0.0
1,39,0.0
1,40,0.0
1,41,0.0
1,42,0.0
1,43,0.0
1,44,0.0
1,45,686.9646839474226
1,46,0.0
1,47,0.0
1,48,0.0
1,49,0.0
1,50,0.0
1,51,0.0
1,52,0.0
1,53,0.0
1,54,0.0
1,55,0.0
1,56,0.0
1,57,0.0
1,58,0.0
1,59,0.0
1,60,0.0
1,61,0.0
1,62,0.0
1,63,0.0
1,64,27.281302487422714
1,65,124.19858887043495
1,66,0.0
1,67,0.0
1,68,0.0
1,69,0.0
1,70,0.0
1,71,0.0
1,72,0.0
1,73,0.0
1,74,0.0
1,75,0.0
1,76,0.0
1,77,0.0
1,78,0.0
1,79,846.0194967369525
1,80,0.0
1,81,0.0
1,82,0.0
1,83,0.0
1,84,0.0
1,85,0.0
1,86,339.4609013329456
1,87,0.0
1,88,1118.7077753938406
1,89,0.0
1,90,0.0
1,91,0.0
1,92,0.0
1,93,0.0
1,94,0.0
1,95,0.0
1,96,0.0
1,97,0.0
1,98,0.0
1,99,1175.4
1,100,0.0
1,101,0.0
1,102,193.78983623792627
1,103,0.0
1,104,0.0
1,105,0.0
1,106,0.0
1,107,0.0
1,108,0.0
1,109,0.0
1,110,142.2
1,111,0.0
1,112,0.0
1,113,0.0
1,114,0.0
1,115,0.0
1,116,0.0
1,117,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,355.8954653017976
2,10,0.0
2,11,144.88234067324996
2,12,0.0
2,13,0.0
2,14,0.0
2,15,0.0
2,16,0.0
2,17,0.0
2,18,0.0
2,19,0.0
2,20,0.0
2,21,0.0
2,22,0.0
2,23,0.0
2,24,142.77727150454308
2,25,328.2481388636096
2,26,0.0
2,27,0.0
2,28,0.0
2,29,0.0
2,30,314.0441633187639
2,31,0.0
2,32,0.0
2,33,0.0
2,34,0.0
2,35,0.0
2,36,0.0
2,37,0.0
2,38,0.0
2,39,0.0
2,40,0.0
2,41,0.0
2,42,0.0
2,43,0.0
2,44,0.0
2,45,243.11968341441477
2,46,0.0
2,47,0.0
2,48,0.0
2,49,0.0
2,50,0.0
2,51,0.0
2,52,0.0
2,53,0.0
2,54,0.0
2,55,0.0
2,56,0.0
2,57,0.0
2,58,0.0
2,59,0.0
2,60,0.0
2,61,0.0
2,62,0.0
2,63,0.0
2,64,12.845577981072706
2,65,110.84288176131615
2,66,0.0
2,67,0.0
2,68,0.0
2,69,0.0
2,70,0.0
2,71,0.0
2,72,0.0
2,73,0.0
2,74,0.0
2,75,0.0
2,76,0.0
2,77,0.0
2,78,0.0
2,79,660.8178617457988
2,80,0.0
2,81,0.0
2,82,0.0
2,83,0.0
2,84,0.0
2,85,0.0
2,86,213.82939003975852
2,87,0.0
2,88,428.24279920062185
2,89,0.0
2,90,0.0
2,91,0.0
2,92,0.0
2,93,0.0
